,eta,M,M_sqr,U,U_sqr,flip_count,K
0,0.1,1006.52,1013116.64,-2204.804,4861354.152400001,17325.0,100.0
1,0.15000000000000002,1011.5,1023153.32,-2313.442,5352152.9474,6007.0,50.0
2,0.20000000000000004,1016.24,1032758.4,-2423.392,5872940.2048,4163.0,50.0
3,0.25000000000000006,1018.3,1036951.0,-2527.245,6387106.9525,2833.0,50.0
4,0.30000000000000004,1020.08,1040571.84,-2630.914,6921793.5324,1819.0,50.0
5,0.3500000000000001,1020.92,1042283.44,-2732.1940000000004,7464948.224600001,1367.0,50.0
6,0.40000000000000013,1021.98,1044448.2,-2834.512,8034521.190400002,975.0,50.0
7,0.42,1022.4,1045304.8,-2875.6188,8269221.720784001,784.0,50.0
8,0.425,1022.22,1044937.8,-2884.8095000000008,8322177.854125002,729.0,50.0
9,0.43,1022.58,1045672.36,-2896.044,8387102.6237119995,730.0,50.0
10,0.435,1022.52,1045549.6,-2905.7048999999997,8443152.058296999,689.0,50.0
11,0.44,1022.3,1045100.44,-2914.7792000000004,8495978.330623997,785.0,50.0
12,0.445,1022.8,1046122.32,-2926.4330000000004,8564044.533465998,598.0,50.0
13,0.45,1022.88,1046285.84,-2936.678999999999,8624114.890099999,592.0,50.0
14,0.455,1022.58,1045672.44,-2945.4957999999997,8675980.811703999,636.0,50.0
15,0.46,1022.84,1046203.68,-2956.4064000000003,8740364.629279999,561.0,50.0
16,0.465,1022.58,1045672.52,-2965.2741000000005,8792887.089143,546.0,50.0
17,0.47000000000000003,1022.88,1046285.36,-2976.303599999999,8858409.211648002,545.0,50.0
18,0.47500000000000003,1023.26,1047062.36,-2987.5995000000007,8925770.141675,489.0,50.0
19,0.48000000000000004,1022.86,1046244.76,-2995.9184000000005,8975559.418624,510.0,50.0
20,0.48500000000000004,1023.24,1047021.6,-3007.3523000000005,9044189.960391,409.0,50.0
21,0.49000000000000005,1023.18,1046898.68,-3017.059799999999,9102669.585092,429.0,50.0
22,0.49500000000000005,1023.1,1046735.4,-3026.6366000000007,9160555.756367998,451.0,50.0
23,0.5,1022.98,1046490.2,-3036.07,9217752.27,428.0,50.0
24,0.55,1023.46,1047471.32,-3137.009,9840841.1697,288.0,50.0
25,0.6000000000000001,1023.6,1047757.76,-3236.700000000001,10476241.390399998,216.0,50.0
26,0.6500000000000001,1023.82,1048207.8,-3336.810999999999,11134315.670700004,128.0,50.0
27,0.7000000000000002,1023.76,1048084.96,-3435.7180000000003,11804166.818000002,101.0,50.0
28,0.7500000000000002,1023.86,1048289.56,-3535.3300000000004,12498564.205000002,68.0,50.0
29,0.8000000000000003,1023.94,1048453.24,-3634.920000000001,13212645.958400002,40.0,50.0
